Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
#DREDBNAME,#DREDBNAME,,Database Name,,,Custom,,Unknown
#DREENDDOC,#DREENDDOC,,#DREENDDOC,,,Custom,,Unknown
#DRESECTION,#DRESECTION,,#DRESECTION,,,Custom,,Unknown
_DLC_DOCID,_DLC_DOCID,,_DLC_DOCID,,,Custom,,Unknown
_DLC_DOCIDITEMGUID,_DLC_DOCIDITEMGUID,,_DLC_DOCIDITEMGUID,,,Custom,,Unknown
_DLC_DOCIDPERSISTID,_DLC_DOCIDPERSISTID,,_DLC_DOCIDPERSISTID,,,Custom,,Unknown
_TEMPLATEID,_TEMPLATEID,,_TEMPLATEID,,,Custom,,Unknown
1st Crim Reviewer,TAG_CRIM_FIRSTREVIEWER_MATCH_PARAMETRIC,1st Crim Reviewer,,,Dropdown List,Combobox,,Unknown
1st Disc Rev Complete,TAG_REG_INITIAL_COMPLETE_NUMERIC,1st Disc Rev Complete,1st Disc Rev Complete,,Boolean,Standard,,Unknown
1st Disc Review Comments,TAG_REG_INITIAL_COMMENTS_MATCH,1st Disc Review Comments,1st Disc Review Comments,,Memo,Unknown,,Unknown
1st Disc Reviewer,TAG_REG_INITIAL_REVIEWER_MATCH_PARAMETRIC,1st Disc Reviewer,1st Disc Reviewer,,Dropdown List,MS Office & PDF,,Unknown
2nd Disc Rev Analysis,TAG_REG_SECOND_ANALYSIS_MATCH,2nd Disc Rev Analysis,2nd Disc Rev Analysis,,Dropdown List,MS Office & PDF,,Unknown
2nd Disc Rev Comments,TAG_REG_SECOND_COMMENTS_MATCH,2nd Disc Rev Comments,2nd Disc Rev Comments,,Memo,MS Office & PDF,,Unknown
2nd Disc Rev Complete,TAG_REG_SECOND_COMPLETE_NUMERIC,2nd Disc Rev Complete,2nd Disc Rev Complete,,Boolean,MS Office & PDF,,Unknown
2nd Disc Reviewer,TAG_REG_SECOND_REVIEWER_MATCH_PARAMETRIC,2nd Disc Reviewer,2nd Disc Reviewer,,Dropdown List,MS Office & PDF,,Unknown
ACTUALORIGINALNAME,ACTUALORIGINALNAME,,ACTUALORIGINALNAME,,,Custom,,Unknown
APERTURE_VALUE,APERTURE_VALUE,,APERTURE_VALUE,,,Custom,,Unknown
APPLE-MOBILE-WEB-APP-CAPABLE,APPLE-MOBILE-WEB-APP-CAPABLE,,APPLE-MOBILE-WEB-APP-CAPABLE,,,Unknown,,Unknown
APPLE-MOBILE-WEB-APP-STATUS-BAR-STYLE,APPLE-MOBILE-WEB-APP-STATUS-BAR-STYLE,,APPLE-MOBILE-WEB-APP-STATUS-BAR-STYLE,,,Standard,,Unknown
APPLE-TOUCH-FULLSCREEN,APPLE-TOUCH-FULLSCREEN,,APPLE-TOUCH-FULLSCREEN,,,Other,,Unknown
AppModified,FILEMODIFIED_NUMERICDATE,OS Date Last Modified,AppModified,,undefined,Custom,,Unknown
AppModifiedUtc,LASTSAVE_DTM,,AppModifiedUtc,,,,,Unknown
APPVERSION,APPVERSION,,APPVERSION,,,Other,,Unknown
Attachment Range Begin,SL_CONTROL_BEGIN_ATTACH_MATCH,Attachment Range Begin,Attachment Range Begin,,Text,MS Office & PDF,,Unknown
Attachment Range End,SL_CONTROL_END_ATTACH_MATCH,Attachment Range End,Attachment Range End,,Text,Custom,,Unknown
ATTACHMENT_NAME_MATCH,ATTACHMENT_NAME_MATCH,,ATTACHMENT_NAME_MATCH,,,Custom,,Unknown
ATTESTATIONFORPARTY1,ATTESTATIONFORPARTY1,,ATTESTATIONFORPARTY1,,,Custom,,Unknown
ATTESTATIONFORPARTY2,ATTESTATIONFORPARTY2,,ATTESTATIONFORPARTY2,,,Appointment,,Unknown
Audio Call Counterparty,SL_AUDIO_COUNTERPARTY_MATCH,Audio Call Counterparty,Audio Call Counterparty,,Text,Custom,,Unknown
Audio Call Direction,SL_AUDIO_CALLDIRECTION_MATCH,Audio Call Direction,Audio Call Direction,,Text,Custom,,Unknown
Audio Called ID,SL_AUDIO_CALLED_ID_MATCH,Audio Called ID,Audio Called ID,,Text,Custom,,Unknown
Audio Caller ID,SL_AUDIO_CALLER_ID_MATCH,Audio Caller ID,Audio Caller ID,,Text,Custom,,Unknown
Audio Caller Name,SL_AUDIO_CALLER_NAME_MATCH,Audio Caller Name,Audio Caller Name,,Text,Custom,,Unknown
Audio Custodian,SL_AUDIO_CUSTODIAN_PARAMETRIC,Audio Custodian,Audio Custodian,,Text,Custom,,Unknown
Audio Duration,SL_AUDIO_DURATION_MATCH,Audio Duration,Audio Duration,,Text,Custom,,Unknown
Audio End Time,SL_AUDIO_ENDTIME_NUMERICDATE,Audio End Time,Audio End Time,,undefined,Custom,,Unknown
Audio Start Time,SL_AUDIO_STARTTIME_NUMERICDATE,Audio Start Time,Audio Start Time,,undefined,Custom,,Unknown
AUDIO_DURATION,AUDIO_DURATION,,AUDIO_DURATION,,,Custom,,Unknown
AUDIO_MMS_URL,AUDIO_MMS_URL,,AUDIO_MMS_URL,,,MS Office & PDF,,Unknown
AUDIO_WORDTIMES,AUDIO_WORDTIMES,,AUDIO_WORDTIMES,,,Unknown,,Unknown
AUN_AUDIO_WAVFORM_URL,AUN_AUDIO_WAVFORM_URL,,AUN_AUDIO_WAVFORM_URL,,,Custom,,Unknown
AUN_DEDUPEID,AUN_DEDUPEID,,AUN_DEDUPEID,,,Custom,,Unknown
AUN_REIMPORT_ROOT_NUMERIC,AUN_REIMPORT_ROOT_NUMERIC,,AUN_REIMPORT_ROOT_NUMERIC,,,Custom,,Unknown
AUN_SOURCE_DESCRIPTION,AUN_SOURCE_DESCRIPTION,,AUN_SOURCE_DESCRIPTION,,,Custom,,Unknown
AUN_SOURCE_MEDIA_ID,AUN_SOURCE_MEDIA_ID,,AUN_SOURCE_MEDIA_ID,,,Custom,,Unknown
AUN_SOURCE_MEDIA_NAME,AUN_SOURCE_MEDIA_NAME,,AUN_SOURCE_MEDIA_NAME,,,Custom,,Unknown
AUN_TIFFASSOCIATION_ORIGINAL,AUN_TIFFASSOCIATION_ORIGINAL,,AUN_TIFFASSOCIATION_ORIGINAL,,,Custom,,Unknown
AUN_TIFFREDACT_COORDINATES_10,AUN_TIFFREDACT_COORDINATES_10,,AUN_TIFFREDACT_COORDINATES_10,,,Custom,,Unknown
AUN_TIFFREDACT_COORDINATES_11,AUN_TIFFREDACT_COORDINATES_11,,AUN_TIFFREDACT_COORDINATES_11,,,Custom,,Unknown
AUN_TIFFREDACT_COORDINATES_12,AUN_TIFFREDACT_COORDINATES_12,,AUN_TIFFREDACT_COORDINATES_12,,,Custom,,Unknown
AUN_TIFFREDACT_COORDINATES_13,AUN_TIFFREDACT_COORDINATES_13,,AUN_TIFFREDACT_COORDINATES_13,,,System,,Unknown
AUN_TIFFREDACT_COORDINATES_14,AUN_TIFFREDACT_COORDINATES_14,,AUN_TIFFREDACT_COORDINATES_14,,,Standard,,Unknown
AUN_TIFFREDACT_CREATED_10,AUN_TIFFREDACT_CREATED_10,,AUN_TIFFREDACT_CREATED_10,,,Standard,,Unknown
AUN_TIFFREDACT_CREATED_11,AUN_TIFFREDACT_CREATED_11,,AUN_TIFFREDACT_CREATED_11,,,Custom,,Unknown
AUN_TIFFREDACT_CREATED_12,AUN_TIFFREDACT_CREATED_12,,AUN_TIFFREDACT_CREATED_12,,,Unknown,,Unknown
AUN_TIFFREDACT_CREATED_13,AUN_TIFFREDACT_CREATED_13,,AUN_TIFFREDACT_CREATED_13,,,Appointment,,Unknown
AUN_TIFFREDACT_CREATED_14,AUN_TIFFREDACT_CREATED_14,,AUN_TIFFREDACT_CREATED_14,,,Appointment,,Unknown
AUN_TIFFREDACT_CREATOR_10,AUN_TIFFREDACT_CREATOR_10,,AUN_TIFFREDACT_CREATOR_10,,,,,Unknown
AUN_TIFFREDACT_CREATOR_11,AUN_TIFFREDACT_CREATOR_11,,AUN_TIFFREDACT_CREATOR_11,,,,,Unknown
AUN_TIFFREDACT_CREATOR_12,AUN_TIFFREDACT_CREATOR_12,,AUN_TIFFREDACT_CREATOR_12,,,,,Unknown
AUN_TIFFREDACT_CREATOR_13,AUN_TIFFREDACT_CREATOR_13,,AUN_TIFFREDACT_CREATOR_13,,,,,Unknown
AUN_TIFFREDACT_CREATOR_14,AUN_TIFFREDACT_CREATOR_14,,AUN_TIFFREDACT_CREATOR_14,,,Unknown,,Unknown
AUN_TIFFREDACT_PAGE_10,AUN_TIFFREDACT_PAGE_10,,AUN_TIFFREDACT_PAGE_10,,,,,Unknown
AUN_TIFFREDACT_PAGE_11,AUN_TIFFREDACT_PAGE_11,,AUN_TIFFREDACT_PAGE_11,,,,,Unknown
AUN_TIFFREDACT_PAGE_12,AUN_TIFFREDACT_PAGE_12,,AUN_TIFFREDACT_PAGE_12,,,,,Unknown
AUN_TIFFREDACT_PAGE_13,AUN_TIFFREDACT_PAGE_13,,AUN_TIFFREDACT_PAGE_13,,,,,Unknown
AUN_TIFFREDACT_PAGE_14,AUN_TIFFREDACT_PAGE_14,,AUN_TIFFREDACT_PAGE_14,,,,,Unknown
AUN_TIFFREDACT_REASON_10,AUN_TIFFREDACT_REASON_10,,AUN_TIFFREDACT_REASON_10,,,,,Unknown
AUN_TIFFREDACT_REASON_11,AUN_TIFFREDACT_REASON_11,,AUN_TIFFREDACT_REASON_11,,,,,Unknown
AUN_TIFFREDACT_REASON_12,AUN_TIFFREDACT_REASON_12,,AUN_TIFFREDACT_REASON_12,,,,,Unknown
AUN_TIFFREDACT_REASON_13,AUN_TIFFREDACT_REASON_13,,AUN_TIFFREDACT_REASON_13,,,,,Unknown
AUN_TIFFREDACT_REASON_14,AUN_TIFFREDACT_REASON_14,,AUN_TIFFREDACT_REASON_14,,,,,Unknown
AUN_TIFFREDACT_REDACTIONSET_10,AUN_TIFFREDACT_REDACTIONSET_10,,AUN_TIFFREDACT_REDACTIONSET_10,,,Custom,,Unknown
AUN_TIFFREDACT_REDACTIONSET_11,AUN_TIFFREDACT_REDACTIONSET_11,,AUN_TIFFREDACT_REDACTIONSET_11,,,Custom,,Unknown
AUN_TIFFREDACT_REDACTIONSET_12,AUN_TIFFREDACT_REDACTIONSET_12,,AUN_TIFFREDACT_REDACTIONSET_12,,,MS Office & PDF,,Unknown
AUN_TIFFREDACT_REDACTIONSET_13,AUN_TIFFREDACT_REDACTIONSET_13,,AUN_TIFFREDACT_REDACTIONSET_13,,,EDT,,Unknown
AUN_TIFFREDACT_REDACTIONSET_14,AUN_TIFFREDACT_REDACTIONSET_14,,AUN_TIFFREDACT_REDACTIONSET_14,,,Custom,,Unknown
