Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
1st Disc Rev Complete,TAG_REG_INITIAL_COMPLETE_NUMERIC,1st Disc Rev Complete,1st Disc Rev Complete,,Boolean,Standard,ABC,Unknown
1st Disc Review Comments,TAG_REG_INITIAL_COMMENTS_MATCH,1st Disc Review Comments,1st Disc Review Comments,,Memo,Unknown,DEF,Unknown
1st Disc Reviewer,TAG_REG_INITIAL_REVIEWER_MATCH_PARAMETRIC,1st Disc Reviewer,1st Disc Reviewer,,Dropdown List,MS Office & PDF,GHI,Unknown
2nd Disc Rev Analysis,TAG_REG_SECOND_ANALYSIS_MATCH,2nd Disc Rev Analysis,2nd Disc Rev Analysis,,Dropdown List,MS Office & PDF,ABC,Unknown
2nd Disc Rev Comments,TAG_REG_SECOND_COMMENTS_MATCH,2nd Disc Rev Comments,2nd Disc Rev Comments,,Memo,MS Office & PDF,DEF,Unknown
2nd Disc Rev Complete,TAG_REG_SECOND_COMPLETE_NUMERIC,2nd Disc Rev Complete,2nd Disc Rev Complete,,Boolean,MS Office & PDF,GHI,Unknown
2nd Disc Reviewer,TAG_REG_SECOND_REVIEWER_MATCH_PARAMETRIC,2nd Disc Reviewer,2nd Disc Reviewer,,Dropdown List,MS Office & PDF,ABC,Unknown
Attachment Range Begin,SL_CONTROL_BEGIN_ATTACH_MATCH,Attachment Range Begin,Attachment Range Begin,,Text,MS Office & PDF,DEF,Unknown
Attachment Range End,SL_CONTROL_END_ATTACH_MATCH,Attachment Range End,Attachment Range End,,Text,Custom,GHI,Unknown
Has Attachments,HASATTACHMENTS,Attachments,Has Attachments,,undefined,Unknown,ABC,Unknown
Audio Call Counterparty,SL_AUDIO_COUNTERPARTY_MATCH,Audio Call Counterparty,Audio Call Counterparty,,Text,Custom,DEF,Unknown
Audio Call Direction,SL_AUDIO_CALLDIRECTION_MATCH,Audio Call Direction,Audio Call Direction,,Text,Custom,ABC,Unknown
Audio Called ID,SL_AUDIO_CALLED_ID_MATCH,Audio Called ID,Audio Called ID,,Text,Custom,DEF,Unknown
Audio Caller ID,SL_AUDIO_CALLER_ID_MATCH,Audio Caller ID,Audio Caller ID,,Text,Custom,GHI,Unknown
Audio Caller Name,SL_AUDIO_CALLER_NAME_MATCH,Audio Caller Name,Audio Caller Name,,Text,Custom,ABC,Unknown
Audio Custodian,SL_AUDIO_CUSTODIAN_PARAMETRIC,Audio Custodian,Audio Custodian,,Text,Custom,DEF,Unknown
Audio Duration,SL_AUDIO_DURATION_MATCH,Audio Duration,Audio Duration,,Text,Custom,GHI,Unknown
Audio End Time,SL_AUDIO_ENDTIME_NUMERICDATE,Audio End Time,Audio End Time,,undefined,Custom,ABC,Unknown
Audio Start Time,SL_AUDIO_STARTTIME_NUMERICDATE,Audio Start Time,Audio Start Time,,undefined,Custom,DEF,Unknown
EMS Document Author,AUTHOR,Author,EMS Document Author,,Text,Custom,GHI,Unknown
EMS Batch Number,TAG_BATCH_NUMBER_MATCH,Batch Number,EMS Batch Number,,Text,Standard ,ABC,Unknown
Bates End,SL_CONTROL_END_NUMBER_MATCH,Bates End,Bates End,,Text,Custom,DEF,Unknown
Bates Start,SL_CONTROL_BEGIN_NUMBER_MATCH,Bates Start,Bates Start,,Text,Custom,ABC,Unknown
Recipients-Bcc,BCC,BCC,Recipients-Bcc,,Text,Custom,DEF,Unknown
Date,BESTDATE_NUMERICDATE,Best Date,Date,,Date,Standard,GHI,Unknown
,TAG_BINDER_MATCH,Binder,,,Text,MS Office & PDF,ABC,Unknown
Bloomberg Identifier,SL_BLOOMBERG_IDENTIFIER_MATCH,Bloomberg Identifier,Bloomberg Identifier,,Text,Custom,DEF,Unknown
Bloomberg Room Name,SL_BLOOMBERG_ROOM_MATCH,Bloomberg Room Name,Bloomberg Room Name,,Text,Custom,GHI,Unknown
End Time,CALENDAR_ENDDATETIME_NUMERICDATE,Calendar/Meeting End Time,End Time,,undefined,Custom,ABC,Unknown
Start Time,CALENDAR_STARTDATETIME_NUMERICDATE,Calendar/Meeting Start Time,Start Time,,undefined,Custom,DEF,Unknown
Project Number,AUN_PROJECT_NUMERIC,Case Project ID,Project Number,,Text,Custom,GHI,Unknown
Recipients-Cc,CC,CC,Recipients-Cc,,Text,Custom,ABC,Unknown
CFU Notes,TAG_CFU_NOTES_MATCH,CFU Notes,CFU Notes,,Memo,Custom,DEF,Unknown
CFU Quarantine Date,TAG_CFU_QUARANTINE_DELETE_DATE_NUMERICDATE,CFU Quarantine Date,CFU Quarantine Date,,Date,Custom,ABC,Unknown
CFU Quarantine Reason,TAG_CFU_QUARANTINE_DELETE_REASON_MATCH,CFU Quarantine Reason,CFU Quarantine Reason,,Memo,MS Office & PDF,DEF,Unknown
CFU Release Date,TAG_CFU_QUARANTINE_RELEASE_DATE_NUMERICDATE,CFU Release Date,CFU Release Date,,Date,Custom,GHI,Unknown
CFU Release Reason,TAG_CFU_QUARANTINE_RELEASE_REASON_MATCH,CFU Release Reason,CFU Release Reason,,Memo,Custom,ABC,Unknown
Child Count,#DRECHILDCOUNT,Child Count,Child Count,,Text,Custom,DEF,Unknown
Investigation Comments,TAG_INV_COMMENTS_MATCH,Comments,Investigation Comments,,Memo,Custom,GHI,Unknown
Corrected Date,TAG_CORRECTEDDATE_NUMERICDATE,Corrected Date,Corrected Date,,Date,Custom,ABC,Unknown
Corrected Date Request,TAG_CDATEREQUEST_MATCH,Corrected Date Request,Corrected Date Request,,List (presented as radio button),Email,DEF,Unknown
EMS DocLibrary Custodian,AUN_VIRTUAL_CUSTODIAN,Custodian (All),EMS DocLibrary Custodian,,Dropdown List,Email,GHI,Unknown
EMS Custodian,AUN_CUSTODIAN,Custodian (Initial),EMS Custodian,,Dropdown List,Standard,ABC,Unknown
EMS DREDATE,#DREDATE,Date,EMS DREDATE,,undefined,Unknown,DEF,Unknown
Introspect Deleted Folder ID,INTROSPECT_DELETED,Deleted Items Folder ID,Introspect Deleted Folder ID,,Text,Custom,ABC,Unknown
Disc Redaction Applied,TAG_REG_REDACTION_APPLIED_NUMERIC,Disc Redaction Applied,Disc Redaction Applied,,Boolean,Standard,DEF,Unknown
Disc Redaction Approved,TAG_REG_REDACTION_APROVED_NUMERIC,Disc Redaction Approved?,Disc Redaction Approved,,Boolean,Standard,GHI,Unknown
Disclosure Determination,TAG_REG_DIS_DETERMINATION_MATCH_PARAMETRIC,Disclosure Determination,Disclosure Determination,,List (presented as radio button),Custom,ABC,Unknown
Disclosure Reason,TAG_REG_DIS_REASON_MATCH_PARAMETRIC,Disclosure Reason,Disclosure Reason,,Dropdown List,Custom,DEF,Unknown
Document Description,TAG_INV_REVISEDDOCDESCRIPTION_MATCH,Doc Description,Document Description,,Memo,Custom,GHI,Unknown
Custodian,SL_DOCUMENT_CUSTODIAN_PARAMETRIC,Document Custodian,Custodian,,Text,Custom,ABC,Unknown
Document Source,TAG_DOCUMENT_SOURCE_MATCH,Document Source,Document Source,,Text,Custom,DEF,Unknown
Document Source Type,SL_DOCUMENT_TYPE_MATCH,Document Type,Document Source Type,,Text,Custom,GHI,Unknown
Document Type Code,DOCUMENTTYPE,Document Type Code,Document Type Code,,undefined,Custom,ABC,Unknown
Domain (Recipient),RECIPIENT_DOMAIN,Domain (Recipient),Domain (Recipient),,Dropdown List,Email,DEF,Unknown
Domain (Sender),FROMDOMAIN,Domain (Sender),Domain (Sender),,Dropdown List,Email,ABC,Unknown
EMS Duplicate Document,TAG_DUPLICATE_NUMERIC,Duplicate,EMS Duplicate Document,,Boolean,Custom,DEF,Unknown
